HOTEL_NAME,STREET,DISTANCE,RATING,REVIEW_COUNT,REVIEW_SUMMARY,FINALPRICE,PREVIOUS_PRICE,PCTAGE_OFF
OYO 76255 Airport Comfort Stay,"Near Opposite To Hotel Moon Light, Bediapara, Kolkata",9.9 km,4.7,687,Excellent,1404,3136,55
OYO 78582 SilverKey Hotel Mayfair Tower,"Kolkata, Kolkata",8.4 km,4,745,Very Good,1328,2529,47
OYO Townhouse 229 Hotel Mannat International,"Near Bypass connector, Kolkata",4.0 km,4.3,5827,Very Good,1426,2715,47
SPOT ON 78904 Dear hotel,Near Park street area,2.1 km,4.3,655,Very Good,955,2100,54
OYO 11930 The Jumbo Stay,"Near Ajanta Dhaba, Bhawanipur, Kolkata",4.8 km,4.7,302,Excellent,4234,8064,47
SPOT ON 70605 Taj Guest House,"Near Bank Of India , Grand Trunk Rd, Kolkata",4.1 km,NEW,0,No Reviews Yet,856,2067,58
OYO Flagship 39318 Mourigram Near Andul Rd,"Howrah, Kolkata",9.5 km,3.8,3555,Good,2131,4059,47
SPOT ON 44386 Petals Residency,"Near PVR Diamond Plaza, Kidwai Road, Kolkata",7.2 km,3.7,1179,Good,850,2185,61
OYO Townhouse 195 Aarya Inn Salt Lake,Near Chingrighata EM-Bypass crossing,5.3 km,4.4,4103,Very Good,1840,3505,47
Capital O 7743 Hotel Hiland International,"Near Acropolis Mall, Rajdanga Main Road, Kolkata",7.6 km,4.4,352,Very Good,1303,3326,60
OYO Townhouse 202 Hotel Aarya Enclave,"Near Acropolis Mall, Kasba",7.1 km,4.6,2811,Excellent,1748,3329,47
OYO 72573 Sp,"Near College Road, Shalimar, Kolkata",5.8 km,4.2,391,Very Good,1804,3435,47
OYO Townhouse 209 Habitat New Town,"Near Eco Park, Action Area 1A, Kolkata",9.0 km,4.4,2197,Very Good,1620,3465,53
OYO Townhouse 143 Hotel Royal Garden,"Near Jameson Inn, Park St, Kolkata",3.0 km,4.4,7680,Very Good,1923,3662,47
Townhouse OAK Shubhham Regency,"Near Salt lake Swimming pool, BF Block, Kolkata",6.2 km,4.5,1328,Excellent,2447,4661,47
Capital O 50001 Krish Residency,"Near Action Area I, New Town, Kolkata",9.5 km,4.3,985,Very Good,2053,3909,47
OYO 12819 The Olive,"Near Bus Stand, Anandaloke Hospital, Cl Block, Kolkata",6.9 km,3.6,747,Good,1261,3100,59
OYO 67194 Hotel Paradise,"Near  Chinar Park, Newtown, Kolkata",9.6 km,4.1,791,Very Good,1603,3054,47
Collection O 24815 Kolkata Airport,"Near Ramkrishna Pally, VIP Road, Kolkata",9.8 km,3.9,5990,Good,1495,2847,47
TownHouse OAK Kzar Corporate Hotel,"Sealdah - Entally, Kolkata",1.6 km,4.5,743,Excellent,2369,4512,47
